numero_natinf;libelle_natinf;domaine_snc;theme_snc;action_snc
26511;DEPOT D'ORDURES, DE DECHETS, DE MATERIAUX OU D'OBJET EN VUE DE LEUR ENLEVEMENT PAR LE SERVICE DE COLLECTE SANS RESPECTER LES CONDITIONS FIXEES PAR L'AUTORITE ADMINISTRATIVE;Inactif-Protection des habitats et patrimoine naturel;Inactif-Autre (protection des habitats et patrimoine naturel);Inactif-Autre (protection des habitats et patrimoine naturel)
7916;DEPOT OU ABANDON D'ORDURES OU DE DECHETS DANS UN BOIS OU UNE FORET;Hors domaine;Hors thème;[2025] Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal)
29646;DEPOT OU ABANDON D'ORDURES OU DE DECHETS TRANSPORTES A L'AIDE D'UN VEHICULE DANS UN BOIS OU UNE FORET;Hors domaine;Hors thème;[2025] Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal)
1086;DEPOT OU ABANDON D'ORDURES, DE DECHETS, DE MATERIAUX OU D'OBJET HORS DES EMPLACEMENTS AUTORISES;Hors domaine;Hors thème;[2025] Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal)
26513;DEVERSEMENT DE LIQUIDE INSALUBRE HORS DES EMPLACEMENTS AUTORISES;Gestion qualitative de la ressource en eau;Autres actions liées à la gestion qualitative;Autres actions liées à la gestion qualitative (Hors SNC)
3487;DIVAGATION DE CHIEN SUSCEPTIBLE D'ENTRAINER LA DESTRUCTION D'OISEAU OU DE GIBIER;Inactif-Police de la chasse;Inactif-Police de la chasse et lutte contre le braconnage des espèces chassables;Inactif-Autres actions de police de la chasse hors SNC
13313;EMISSION DE BRUIT PORTANT ATTEINTE A LA TRANQUILLITE DU VOISINAGE OU A LA SANTE DE L'HOMME;Hors domaine;Hors thème;
21322;EPANDAGE IRREGULIER D'EFFLUENT AGRICOLE;Inactif-Qualité de l'eau;Inactif-Lutte contre les pollutions par les nitrates;Inactif-Exploitations en zones vulnérables autres (hors SNC)
23571;EXERCICE D'ACTIVITE NON CONFORME A UN ARRETE D'AMENAGEMENT DE BOIS OU FORET RELEVANT DU REGIME FORESTIER;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Protection des milieux forestiers (dont lutte contre les incendies)
26143;EXTRACTION OU ENLEVEMENT DE PIERRES, SABLE OU MINERAI DE BOIS OU FORET SANS AUTORISATION DU PROPRIETAIRE DU TERRAIN - VOLUME PRELEVE N'EXCEDANT PAS 2 METRES CUBES;Espaces protégés et protection des milieux et du cadre de vie;Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC);Protection des milieux forestiers (dont lutte contre les incendies)
26145;EXTRACTION OU ENLEVEMENT DE TERRE, GAZON, MOUSSES, TOURBE OU VEGETAUX DE BOIS OU FORET SANS AUTORISATION DU PROPRIETAIRE DU TERRAIN - VOLUME PRELEVE N'EXCEDANT PAS 2 METRES CUBES;Inactif-Protection des habitats et patrimoine naturel;Inactif-Forêt;Inactif-Protection des milieux forestiers (dont lutte contre les incendies)
7928;INCINERATION INTERDITE DE VEGETAUX SUR PIED A MOINS DE 200 METRES D'UNE FORET OU D'UN BOIS;Assurer la protection des espèces animales et végétales;Espèces protégées;Espèces protégées : destructions ou perturbations d'espèces protégées, altération, dégradation et destruction d'habitat (SNC 4.3)
