Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
10184;Délit;MENACE ENVERS UN AVOCAT POUR L'INFLUENCER;ART.434-8 C.PENAL.;ART.434-8, ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
10185;Délit;MENACE ENVERS UN INTERPRETE OU UN EXPERT POUR L'INFLUENCER;ART.434-8 C.PENAL.;ART.434-8,ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
10186;Délit;MENACE ENVERS MAGISTRAT,JURE OU PERSONNE SIEGEANT DANS UNE JURIDICTION POUR L'INFLUENCER;ART.434-8 C.PENAL.;ART.434-8, ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
10187;Délit;MENACE REITEREE DE DELIT CONTRE LES PERSONNES DONT LA TENTATIVE EST PUNISSABLE;ART.222-17 AL.1 C.PENAL.;ART.222-17 AL.1, ART.222-44, ART.222-45 C.PENAL.
10188;Délit;MENACE MATERIALISEE DE DELIT CONTRE LES PERSONNES DONT LA TENTATIVE EST PUNISSABLE;ART.222-17 AL.1 C.PENAL.;ART.222-17 AL.1, ART.222-44, ART.222-45 C.PENAL.
10189;Délit;MENACE DE MORT AVEC ORDRE DE REMPLIR UNE CONDITION;ART.222-18 AL.2,AL.1 C.PENAL.;ART.222-18 AL.2, ART.222-44, ART.222-45, ART.131-30 AL.1 C.PENAL.
10190;Délit;MENACE REITEREE DE CRIME CONTRE LES PERSONNES;ART.222-17 AL.1 C.PENAL.;ART.222-17 AL.1, ART.222-44, ART.222-45 C.PENAL.
10191;Délit;MENACE DE CRIME CONTRE LES PERSONNES MATERIALISEE PAR ECRIT, IMAGE OU AUTRE OBJET;ART.222-17 AL.1 C.PENAL.;ART.222-17 AL.1, ART.222-44, ART.222-45 C.PENAL.
10192;Délit;MENACE REITEREE DE DEGRADATION OU DETERIORATION DANGEREUSE POUR LES PERSONNES;ART.322-12 C.PENAL.;ART.322-12, ART.322-15 C.PENAL.
10193;Délit;MENACE REITEREE DE DESTRUCTION DANGEREUSE POUR LES PERSONNES;ART.322-12 C.PENAL.;ART.322-12, ART.322-15 C.PENAL.
10194;Délit;MENACE DE DEGRADATION OU DETERIORATION DANGEREUSE POUR LES PERSONNES MATERIALISEE PAR ECRIT, IMAGE OU AUTRE OBJET;ART.322-12 C.PENAL.;ART.322-12, ART.322-15 C.PENAL.
10195;Délit;MENACE DE DESTRUCTION DANGEREUSE POUR LES PERSONNES MATERIALISEE PAR ECRIT, IMAGE OU AUTRE OBJET;ART.322-12 C.PENAL.;ART.322-12, ART.322-15 C.PENAL.
10196;Délit;MENACE ENVERS UN ARBITRE POUR L'INFLUENCER;ART.434-8 C.PENAL.;ART.434-8, ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
10201;Contravention de classe 2;USAGE IRREGULIER D'INSTRUMENT SONORE DANS UNE RESERVE NATURELLE;ART.R.332-69, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-69, ART.L.173-7 2° C.ENVIR.
10202;Contravention de classe 3;STATIONNEMENT IRREGULIER DE PERSONNE DANS UNE RESERVE NATURELLE;ART.R.332-70 2°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-70, ART.L.173-7 2° C.ENVIR.
10203;Contravention de classe 3;CIRCULATION IRREGULIERE DE PERSONNE DANS UNE RESERVE NATURELLE;ART.R.332-70 2°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-70, ART.L.173-7 2° C.ENVIR.
10204;Contravention de classe 3;STATIONNEMENT IRREGULIER D'ANIMAL DANS UNE RESERVE NATURELLE;ART.R.332-70 2°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-70, ART.L.173-7 2° C.ENVIR.
10205;Contravention de classe 2;CIRCULATION DE FRONT PAR CONDUCTEUR DE CYCLE OU DE CYCLOMOTEUR;ART.R.431-6, ART.R.431-7 C.ROUTE.;ART.R.431-6 AL.2, ART.R.431-7 AL.3 C.ROUTE.
10206;Contravention de classe 3;CIRCULATION IRREGULIERE D'ANIMAL DANS UNE RESERVE NATURELLE;ART.R.332-70 2°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-70, ART.L.173-7 2° C.ENVIR.
10209;Contravention de classe 3;EXERCICE IRREGULIER DE LA PLONGEE SOUS-MARINE DANS UNE RESERVE NATURELLE;ART.R.332-70 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-70, ART.L.173-7 2° C.ENVIR.
10211;Contravention de classe 4;ATTEINTE IRREGULIERE AUX VEGETAUX NON CULTIVES D'UNE RESERVE NATURELLE;ART.R.332-71 1°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10212;Contravention de classe 4;ATTEINTE IRREGULIERE AUX MINERAUX OU AUX FOSSILES D'UNE RESERVE NATURELLE;ART.R.332-71 1°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10213;Contravention de classe 4;TRANSPORT DE VEGETAL NON CULTIVE HORS D'UNE RESERVE NATURELLE;ART.R.332-71 1°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10214;Contravention de classe 4;TRANSPORT IRREGULIER DE MINERAUX OU DE FOSSILE HORS D'UNE RESERVE NATURELLE;ART.R.332-71 1°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10215;Contravention de classe 4;INTRODUCTION IRREGULIERE D'ANIMAL DANS UNE RESERVE NATURELLE;ART.R.332-71 2°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10216;Contravention de classe 4;INTRODUCTION IRREGULIERE DE VEGETAL DANS UNE RESERVE NATURELLE;ART.R.332-71 2°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10217;Contravention de classe 4;TROUBLE VOLONTAIRE DE LA TRANQUILLITE DES ANIMAUX DANS UNE RESERVE NATURELLE;ART.R.332-71 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10218;Contravention de classe 5;ALLUMAGE DE FEU DANS UNE RESERVE NATURELLE;ART.R.332-73 5°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-73, ART.L.173-7 2° C.ENVIR.
10219;Contravention de classe 4;INSCRIPTION, SIGNE OU DESSIN NON AUTORISE SUR UN BIEN MEUBLE OU IMMEUBLE D'UNE RESERVE NATURELLE;ART.R.332-71 4°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10221;Contravention de classe 4;PRATIQUE IRREGULIERE DE JEU OU DE SPORT DANS UNE RESERVE NATURELLE;ART.R.332-72, ART.R.332-76, ART.L.332-1, ART.L.332-11 C.ENVIR.;ART.R.332-72, ART.L.173-7 2° C.ENVIR.
10222;Contravention de classe 4;ATTEINTE IRREGULIERE A UN ANIMAL NON DOMESTIQUE D'UNE RESERVE NATURELLE;ART.R.332-71 1°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10223;Contravention de classe 4;TRANSPORT IRREGULIER D'ANIMAL NON DOMESTIQUE HORS D'UNE RESERVE NATURELLE;ART.R.332-71 1°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-71, ART.L.173-7 2° C.ENVIR.
10228;Contravention de classe 5;PENETRATION DANS UNE RESERVE NATURELLE MALGRE INTERDICTION;ART.R.332-73 6°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-73, ART.L.173-7 2° C.ENVIR.
10229;Contravention de classe 5;CIRCULATION DANS UNE RESERVE NATURELLE MALGRE INTERDICTION;ART.R.332-73 6°, ART.R.332-76, ART.L.332-1, ART.L.332-11, ART.L.332-3 C.ENVIR.;ART.R.332-73, ART.L.173-7 2° C.ENVIR.
10231;Contravention de classe 5;EXECUTION IRREGULIERE DE TRAVAUX DANS UNE RESERVE NATURELLE;ART.R.332-74 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11 C.ENVIR.;ART.R.332-74 AL.1, ART.R.332-80 AL.3,ART.L.332-27, ART.L.173-5 2°, ART.L.173-7 2° C.ENVIR. ART.L.480-7 C.URBANISME.
10232;Contravention de classe 5;RECHERCHE IRREGULIERE DE MATERIAUX OU MINERAIS DANS UNE RESERVE NATURELLE;ART.R.332-74 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11 C.ENVIR.;ART.R.332-74 AL.1, ART.R.332-80 AL.3, ART.L.332-27, ART.L.173-5 2°, ART.L.173-7 2° C.ENVIR. ART.L.480-7 C.URBANISME.
10233;Contravention de classe 5;EXPLOITATION IRREGULIERE DE MATERIAUX OU MINERAIS DANS UNE RESERVE NATURELLE;ART.R.332-74 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11 C.ENVIR.;ART.R.332-74 AL.1, ART.R.332-80 AL.3, ART.L.332-27, ART.L.173-5 2°, ART.L.173-7 2° C.ENVIR. ART.L.480-7 C.URBANISME.
10234;Contravention de classe 5;EXERCICE IRREGULIER D'ACTIVITE INDUSTRIELLE, COMMERCIALE, ARTISANALE OU PUBLICITAIRE DANS UNE RESERVE NATURELLE;ART.R.332-74 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11 C.ENVIR.;ART.R.332-74 AL.1, ART.R.332-80 AL.3, ART.L.332-27, ART.L.173-5 2°, ART.L.173-7 2° C.ENVIR. ART.L.480-7 C.URBANISME.
10235;Contravention de classe 5;EXERCICE IRREGULIER D'ACTIVITE DE PHOTO,RADIO, CINEMA OU TELEVISION DANS UNE RESERVE NATURELLE;ART.R.332-74 3°, ART.R.332-76, ART.L.332-1, ART.L.332-3 C.ENVIR.;ART.R.332-74 AL.1, ART.R.332-80 AL.3, ART.L.332-27, ART.L.173-5 2°, ART.L.173-7 2° C.ENVIR. ART.L.480-7 C.URBANISME.
10236;Contravention de classe 5;SURVOL INTERDIT D'UNE RESERVE NATURELLE;ART.R.332-74 3°, ART.R.332-76, ART.L.332-1, ART.L.332-11 C.ENVIR.;ART.R.332-74 AL.1, ART.L.173-7 2° C.ENVIR.
10239;Délit;"UTILISATION DU MOT ""SOLDES"" OU D'UN DERIVE POUR UNE OPERATION NE S'Y RAPPORTANT PAS";ART.L.310-5 4°, ART.L.310-3 §II, §I C.COMMERCE.;ART.L.310-5 AL.1, AL.9 C.COMMERCE.
10290;Contravention de classe 5;UTILISATION IRREGULIERE DE LA DENOMINATION LAIT FERMENTE;ART.1 AL.1,AL.2,AL.3, ART.3 AL.2 DECRET 88-1203 DU 30/12/1988. ART.L.412-1 C.CONSOMMAT.;ART.R.451-1 AL.1 C.CONSOMMAT.
10292;Contravention de classe 5;UTILISATION IRREGULIERE DES DENOMINATIONS YAOURT OU YOGHOURT;ART.2, ART.3 AL.2 DECRET 88-1203 DU 30/12/1988. ART.L.412-1 C.CONSOMMAT.;ART.R.451-1 AL.1 C.CONSOMMAT.
10296;Contravention de classe 5;ETIQUETAGE NON CONFORME DE LAIT FERMENTE;ART.4, ART.1, ART.2 DECRET 88-1203 DU 30/12/1988. ART.L.412-1 C.CONSOMMAT.;ART.R.451-1 AL.1 C.CONSOMMAT.
10297;Contravention de classe 5;INSERTION ILLICITE DANS L'ETIQUETAGE D'UNE DENREE ALIMENTAIRE DE LA MENTION YAOURT OU YOGHOURT;ART.5 DECRET 88-1203 DU 30/12/1988. ART.L.412-1 C.CONSOMMAT.;ART.R.451-1 AL.1 C.CONSOMMAT.
10298;Délit;GESTION DE DECHETS SANS AGREMENT;ART.L.541-46 §I 7°, ART.L.541-48, ART.L.541-1-1 AL.8, ART.L.541-22, ART.R.541-7, ART.R.541-8 C.ENVIR.;ART.L.541-46 §I, §III, §IV, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10299;Délit;GESTION IRREGULIERE DE DECHETS (CARACTERISTIQUES, QUANTITE, CONDITIONS DE PRISE EN CHARGE OU PROCEDES DE TRAITEMENT);ART.L.541-46 §I 8°, ART.L.541-48, ART.L.541-1-1 AL.8, ART.L.541-2, ART.L.541-2-1, ART.L.541-7-2, ART.L.541-21-1, ART.L.541-21-2, ART.L.541-22 AL.1, ART.R.541-7, ART.R.541-8 C.ENVIR.;ART.L.541-46 §I, §II, §III, §IV, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10300;Délit;NON CONSERVATION DE DECOUVERTE FAITE LORS DE FOUILLES ARCHEOLOGIQUES AUTORISEES;ART.L.544-2, ART.L.531-3 AL.2 C.PATRIMOINE.;ART.L.544-2 C.PATRIMOINE.
10301;Délit;FAUSSE DECLARATION RELATIVE A UNE DECOUVERTE ARCHEOLOGIQUE FORTUITE;ART.L.544-3, ART.L.531-14 AL.1,AL.2 C.PATRIMOINE.;ART.L.544-3 C.PATRIMOINE.
10302;Délit;VENTE DE DECOUVERTE ARCHEOLOGIQUE FAITE LORS DE FOUILLES AUTORISEES MAIS NON DECLAREE;ART.L.544-4 AL.1, ART.L.531-3 AL.3 C.PATRIMOINE.;ART.L.544-4 C.PATRIMOINE.
10303;Délit;ACHAT DE DECOUVERTE ARCHEOLOGIQUE FAITE LORS DE FOUILLES AUTORISEES MAIS NON DECLAREE;ART.L.544-4 AL.1, ART.L.531-3 AL.3 C.PATRIMOINE.;ART.L.544-4 C.PATRIMOINE.
10304;Délit;NON DECLARATION DE LA DECOUVERTE DE BIEN CULTUREL MARITIME;ART.L.544-5 AL.1, ART.L.532-3 AL.2,AL.1, ART.L.532-12, ART.L.532-1, ART.R.532-1, ART.R.532-2 AL.1 C.PATRIMOINE.;ART.L.544-5 AL.1 C.PATRIMOINE.
10305;Délit;NON DECLARATION DE L'ENLEVEMENT FORTUIT DE BIEN CULTUREL MARITIME;ART.L.544-5 AL.1, ART.L.532-4, ART.L.532-12, ART.L.533-1, ART.R.532-1, ART.R.532-2 AL.2 C.PATRIMOINE.;ART.L.544-5 AL.1 C.PATRIMOINE.
10306;Délit;FAUSSE DECLARATION SUR LE GISEMENT SUR LEQUEL A ETE DECOUVERT UN BIEN CULTUREL MARITIME;ART.L.544-5 AL.2, ART.L.532-3 AL.2, ART.L.532-4, ART.L.532-12, ART.L.532-1, ART.R.532-2 C.PATRIMOINE.;ART.L.544-5 C.PATRIMOINE.
10307;Délit;PROSPECTION, SONDAGE OU FOUILLE SANS AUTORISATION SUR UN BIEN CULTUREL MARITIME;ART.L.544-6, ART.L.532-7 AL.1, ART.L.532-8, ART.L.532-12, ART.L.532-1, ART.R.532-7, ART.R.532-8 C.PATRIMOINE.;ART.L.544-6 C.PATRIMOINE.
10308;Délit;DEPLACEMENT SANS AUTORISATION D'UN BIEN CULTUREL MARITIME DECOUVERT;ART.L.544-6, ART.L.532-7 AL.2,AL.1, ART.L.532-8, ART.L.532-12, ART.L.532-1, ART.R.532-7, ART.R.532-8 C.PATRIMOINE.;ART.L.544-6 C.PATRIMOINE.
10309;Délit;PRELEVEMENT, SANS AUTORISATION, SUR UN BIEN CULTUREL MARITIME DECOUVERT;ART.L.544-6, ART.L.532-7 AL.2,AL.1, ART.L.532-8, ART.L.532-12, ART.L.532-1, ART.R.532-7, ART.R.532-8 C.PATRIMOINE.;ART.L.544-6 C.PATRIMOINE.
10310;Délit;VENTE DE BIEN CULTUREL MARITIME ENLEVE A LA SUITE D'UNE DECOUVERTE NON DECLAREE;ART.L.544-7 AL.1, ART.L.532-3 AL.2,AL.1, ART.L.532-12, ART.L.532-1 C.PATRIMOINE.;ART.L.544-7 C.PATRIMOINE.
10311;Délit;ACQUISITION D'UN BIEN CULTUREL MARITIME ENLEVE A LA SUITE D'UNE DECOUVERTE NON DECLAREE;ART.L.544-7 AL.1, ART.L.532-3 AL.2,AL.1, ART.L.532-12, ART.L.532-1 C.PATRIMOINE.;ART.L.544-7 C.PATRIMOINE.
10312;Délit;VENTE DE BIEN CULTUREL MARITIME ENLEVE SANS AUTORISATION A LA SUITE DE FOUILLES;ART.L.544-7 AL.1, ART.L.532-7 AL.2, ART.L.532-8, ART.L.532-12, ART.L.532-1 C.PATRIMOINE.;ART.L.544-7 C.PATRIMOINE.
10313;Délit;ACHAT DE BIEN CULTUREL MARITIME ENLEVE SANS AUTORISATION A LA SUITE DE FOUILLES;ART.L.544-7 AL.1, ART.L.532-7 AL.2, ART.L.532-8, ART.L.532-12, ART.L.532-1 C.PATRIMOINE.;ART.L.544-7 C.PATRIMOINE.
10314;Délit;VENTE DE BIEN CULTUREL MARITIME ENLEVE FORTUITEMENT ET NON DECLARE;ART.L.544-7 AL.1, ART.L.532-4, ART.L.532-12, ART.L.532-1 C.PATRIMOINE.;ART.L.544-7 C.PATRIMOINE.
10315;Délit;ACHAT DE BIEN CULTUREL MARITIME ENLEVE FORTUITEMENT ET NON DECLARE;ART.L.544-7 AL.1, ART.L.532-4, ART.L.532-12, ART.L.532-1 C.PATRIMOINE.;ART.L.544-7 C.PATRIMOINE.
10316;Délit;RECUEIL DIRECT DE FONDS PAR UN CANDIDAT POUR FINANCER SA CAMPAGNE ELECTORALE;ART.L.113-1 §I 1°, ART.L.52-4 AL.1, AL.2 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10318;Délit;ACCEPTATION PAR UN CANDIDAT EN CAMPAGNE ELECTORALE DE DON D'UNE PERSONNE PHYSIQUE SUPERIEUR A 4600 EUROS;ART.L.113-1 §I 2°, ART.L.52-8 AL.1, ART.L.308-1 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10321;Délit;ACCEPTATION PAR UN CANDIDAT EN CAMPAGNE ELECTORALE DE DON SUPERIEUR A 150 EUROS VERSE EN ESPECES;ART.L.113-1 §I 2°, ART.L.52-8 AL.3, ART.L.308-1 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10322;Délit;ACCEPTATION PAR UN CANDIDAT EN CAMPAGNE ELECTORALE DE DON EN ESPECES D'UN MONTANT GLOBAL EXCEDANT LE PLAFOND LEGAL DES DEPENSES;ART.L.113-1 §I 2°, ART.L.52-8 AL.5, ART.L.52-11, ART.L.308-1 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10325;Délit;ACCEPTATION PAR UN CANDIDAT EN CAMPAGNE ELECTORALE DE CONTRIBUTION OU AIDE MATERIELLE D'UN ETAT OU D'UNE PERSONNE MORALE ETRANGERE;ART.L.113-1 §I 2°, ART.L.52-8 AL.6, ART.L.308-1 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10326;Délit;ENGAGEMENT PAR CANDIDAT DE DEPENSES ELECTORALES DEPASSANT LE PLAFOND LEGAL;ART.L.113-1 §I 3°, ART.L.52-11, ART.L.52-4 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10327;Délit;TENUE NON CONFORME PAR UN CANDIDAT DE SON COMPTE DE CAMPAGNE ELECTORALE;ART.L.113-1 §I 4°, ART.L.52-12 AL.1, ART.L.52-13, ART.L.52-11, ART.L.52-4 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10328;Délit;MINORATION VOLONTAIRE D'ELEMENT COMPTABLE DANS UN COMPTE DE CAMPAGNE ELECTORALE;ART.L.113-1 §I 5°, ART.L.52-12 C.ELECTORAL.;ART.L.113-1 §I AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10329;Délit;AFFICHAGE HORS EMPLACEMENT RESERVE, AU BENEFICE D'UN CANDIDAT, PENDANT UNE CAMPAGNE ELECTORALE;ART.L.113-1 §II 1°, ART.L.51 C.ELECTORAL.;ART.L.113-1 §II AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10330;Délit;PUBLICITE COMMERCIALE A DES FINS ELECTORALES AU BENEFICE D'UN CANDIDAT PENDANT UNE CAMPAGNE;ART.L.113-1 §II 1°, ART.L.52-1 C.ELECTORAL.;ART.L.113-1 §II AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10331;Délit;DIFFUSION D'UN NUMERO D'APPEL GRATUIT AU BENEFICE D'UN CANDIDAT D'UNE CAMPAGNE ELECTORALE;ART.L.113-1 §II 2° C.ELECTORAL.;ART.L.113-1 §II AL.1 C.ELECTORAL. ART.131-26-2 C.PENAL.
10332;Délit;VERSEMENT PAR UNE PERSONNE PHYSIQUE DE DON SUPERIEUR A 4600 EUROS A UN CANDIDAT EN CAMPAGNE ELECTORALE;ART.L.113-1 §III, ART.L.52-8 AL.1 C.ELECTORAL.;ART.L.113-1 §III AL.1 C.ELECTORAL. ART.21 LOI 90-55 DU 15/01/1990. ART.131-26-2 C.PENAL.
10335;Délit;VERSEMENT EN ESPECES DE DON SUPERIEUR A 150 EUROS A UN CANDIDAT EN CAMPAGNE ELECTORALE;ART.L.113-1 §III, ART.L.52-8 AL.3 C.ELECTORAL.;ART.L.113-1 §III AL.1 C.ELECTORAL. ART.21 LOI 90-55 DU 15/01/1990. ART.131-26-2 C.PENAL.
10338;Délit;DEPENSE EFFECTUEE POUR FINANCER LA CAMPAGNE ELECTORALE D'UN CANDIDAT SANS SON ACCORD EXPRES;ART.L.113-1 §IV, ART.L.52-12 AL.1 C.ELECTORAL.;ART.L.113-1 §IV C.ELECTORAL. ART.131-26-2 C.PENAL.
10339;Délit;VERSEMENT DE DON ANNUEL SUPERIEUR A 7500 EUROS PAR UNE PERSONNE PHYSIQUE A UN OU PLUSIEURS PARTIS OU GROUPEMENTS POLITIQUES;ART.11-5 AL.1, ART.11-4 AL.1, ART.11 LOI 88-227 DU 11/03/1988.;ART.11-5 AL.1 LOI 88-227 DU 11/03/1988. ART.21 LOI 90-55 DU 15/01/1990. ART.131-26-2 C.PENAL.
10340;Délit;ACCEPTATION PAR UN PARTI OU GROUPEMENT POLITIQUE DE DON ANNUEL SUPERIEUR A 7500 EUROS D'UNE MEME PERSONNE PHYSIQUE;ART.11-5 AL.2 2°, ART.11-4 AL.1, ART.11 LOI 88-227 DU 11/03/1988.;ART.11-5 AL.2,AL.1 LOI 88-227 DU 11/03/1988. ART.131-26-2 C.PENAL.
10344;Délit;VERSEMENT EN ESPECES DE DON SUPERIEUR A 150 EUROS A UN PARTI OU GROUPEMENT POLITIQUE;ART.11-5 AL.1, ART.11-4 AL.5, ART.11 LOI 88-227 DU 11/03/1988.;ART.11-5 AL.1 LOI 88-227 DU 11/03/1988. ART.21 LOI 90-55 DU 15/01/1990. ART.131-26-2 C.PENAL.
10353;Délit;POURSUITE DE DEFRICHEMENT MALGRE UNE DECISION JUDICIAIRE DE MAINTIEN DES MESURES PRISES POUR ASSURER L'INTERRUPTION DES TRAVAUX;ART.L.363-5 AL.1, ART.L.363-4, ART.L.341-1, ART.L.163-15 AL.2 C.FORESTIER.;ART.L.363-5 AL.1, ART.L.363-1 AL.3 C.FORESTIER.
10354;Délit;POURSUITE DE DEFRICHEMENT ILLICITE MALGRE UN PROCES-VERBAL ORDONNANT L'INTERRUPTION DES TRAVAUX;ART.L.363-5 AL.1, ART.L.363-4, ART.L.341-1, ART.L.163-15 AL.2 C.FORESTIER.;ART.L.363-5 AL.1, ART.L.363-1 AL.3 C.FORESTIER.
10356;Contravention de classe 5;OFFRE PREALABLE DE CREDIT ASSORTIE D'UNE PROPOSITION D'ASSURANCE SANS REMISE DE NOTICE DESCRIPTIVE DE CELLE-CI;ART.R.341-5, ART.L.312-29, ART.L.312-1, ART.L.311-1 6° C.CONSOMMAT.;ART.R.341-5 C.CONSOMMAT.
10358;Délit;MISE OU MAINTIEN EN SERVICE D'UN AERONEF SANS CERTIFICAT DE LIMITATION DE NUISANCES;ART.L.6232-4 1°, ART.L.6100-1, ART.R.6221-17 C.TRANSPORTS. ART.14 REGLT.UE DU 04/07/2018.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10359;Délit;CIRCULATION D'UN AERONEF DONT LE CERTIFICAT DE LIMITATION DE NUISANCES N'EST PLUS VALABLE;ART.L.6232-4 2°, ART.L.6100-1, ART.R.6221-17 C.TRANSPORTS. ART.14 REGLT.UE DU 04/07/2018.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10360;Délit;CIRCULATION D'UN AERONEF NE REPONDANT PAS AUX CONDITIONS TECHNIQUES DE NAVIGABILITE;ART.L.6232-4 3°, ART.L.6100-1, ART.R.6221-2 2° C.TRANSPORTS. ART.14 REGLT.UE DU 04/07/2018.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10361;Délit;MISE OU MAINTIEN EN CIRCULATION D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : EQUIPEMENT DE L'APPAREIL;ART.L.6232-4 4°, ART.L.6100-1 C.TRANSPORTS.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10362;Délit;MISE OU MAINTIEN EN CIRCULATION D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : UTILISATION DE L'APPAREIL;ART.L.6232-4 4°, ART.L.6100-1, ART.R.6221-2 3° C.TRANSPORTS.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10363;Délit;MISE OU MAINTIEN EN CIRCULATION D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : COMPOSITION DE L'EQUIPAGE;ART.L.6232-4 4°, ART.L.6100-1 C.TRANSPORTS.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10364;Délit;MISE OU MAINTIEN EN CIRCULATION D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : EMPLOI DE L'EQUIPAGE;ART.L.6232-4 4°, ART.L.6100-1, ART.R.6221-2 4° C.TRANSPORTS.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10365;Délit;DESTRUCTION D'UN DOCUMENT DE BORD D'UN AERONEF PAR LE PILOTE;ART.L.6232-7, ART.R.6221-18 2°, 3°, 4°, 5°, 6°, 7°, 8°, 9° C.TRANSPORTS.;ART.L.6232-7, ART.L.6232-5 AL.1 C.TRANSPORTS.
10366;Délit;FALSIFICATION D'UN DOCUMENT DE BORD D'UN AERONEF PAR LE PILOTE;ART.L.6232-7, ART.R.6221-18 2°, 3°, 4°, 5°, 6°, 7°, 8°, 9° C.TRANSPORTS.;ART.L.6232-7, ART.L.6232-5 AL.1 C.TRANSPORTS.
10367;Délit;CONDUITE INTENTIONNELLE D'UN AERONEF SANS CERTIFICAT D'IMMATRICULATION;ART.L.6142-5 2°, ART.L.6142-4 1°, ART.L.6111-1 §1, ART.L.6100-1, ART.D.6111-18 C.TRANSPORTS.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
