Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
25376;Contravention de classe 4;PECHE, LA NUIT, DANS LE LAC LEMAN D'UNE ESPECE A UNE PERIODE OU SA PECHE EST INTERDITE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.43 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25377;Contravention de classe 3;PECHE DANS LE LAC LEMAN DE POISSONS EN NOMBRE SUPERIEUR A CELUI AUTORISE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.44 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25378;Contravention de classe 4;PECHE, LA NUIT, DANS LE LAC LEMAN DE POISSONS EN NOMBRE SUPERIEUR A CELUI AUTORISE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.44 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25381;Contravention de classe 3;PECHE PROFESSIONNELLE DANS LE LAC LEMAN SANS SIGNALISATION REGULIERE DES ENGINS DE PECHE POSES OU TENDUS;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.35 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25382;Contravention de classe 3;PECHE PROFESSIONNELLE DANS LE LAC LEMAN SANS TENUE CONFORME DE LA FEUILLE STATISTIQUE DES CAPTURES;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.52 AL.1 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25383;Contravention de classe 3;PECHE DE LOISIR DANS LE LAC LEMAN SANS TENUE CONFORME DU CARNET DE CONTROLE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.53 AL.1, AL.2 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25384;Délit;TROMPERIE, PAR PERSONNE MORALE, SUR UNE MARCHANDISE, A L'AIDE DE FAUX POIDS OU MESURES OU DE PROCEDES FRAUDULEUX;ART.L.454-5 AL.2, ART.L.454-2, ART.L.441-1 C.CONSOMMAT. ART.121-2 C.PENAL.;ART.L.454-5 AL.2, ART.L.454-2 AL.1, ART.L.454-4 C.CONSOMMAT. ART.131-38, ART.131-39 2°, 3°, 4°, 5°, 6°, 7°, 8°, 9° C.PENAL.
25386;Contravention de classe 4;EXCES DE VITESSE D'AU MOINS 5KM/H ET INFERIEUR A 20 KM/H PAR CONDUCTEUR DE VEHICULE A MOTEUR - VITESSE MAXIMALE AUTORISEE INFERIEURE OU EGALE A 50 KM/H;ART.R.413-14 §I C.ROUTE.;ART.R.413-14 §I AL.1 C.ROUTE.
25387;Contravention de classe 3;EXCES DE VITESSE D'AU MOINS 5KM/H ET INFERIEUR A 20 KM/H PAR CONDUCTEUR DE VEHICULE A MOTEUR - VITESSE MAXIMALE AUTORISEE SUPERIEURE A 50 KM/H;ART.R.413-14 §I C.ROUTE.;ART.R.413-14 §I AL.2 C.ROUTE.
25388;Contravention de classe 4;REDEVABLE DE L'AMENDE ENCOURUE POUR EXCES DE VITESSE D'AU MOINS 20 KM/H ET INFERIEUR A 50 KM/H;ART.L.121-3, ART.R.121-6 8°, ART.R.130-11 8° C.ROUTE.;ART.R.413-14 §I AL.1 C.ROUTE.
