INSEE_COM,C,5;NOM_COM,C,50;long_centr,N,11,7;lat_centro,N,11,7;INSEE_DEP,C,3;commune_ac,N,1,0;date_mod2,C,24
54256;Haussonville;6,3222241;48,5282117;54;1;2018/01/01 00:00:00.000
12002;Aguessac;3,0689291;44,1611146;12;1;2018/01/01 00:00:00.000
40041;Beyries;-0,6405003;43,5639622;40;1;2018/01/01 00:00:00.000
62180;Brias;2,3847097;50,4117011;62;1;2018/01/01 00:00:00.000
54484;Sainte-Pôle;6,8303996;48,5057818;54;1;2018/01/01 00:00:00.000
88331;Nonzeville;6,6335964;48,2651348;88;1;2018/01/01 00:00:00.000
57536;Petit-Tenquin;6,8684946;48,9884202;57;1;2018/01/01 00:00:00.000
09064;Bouan;1,6433653;42,7923923;09;1;2018/01/01 00:00:00.000
57417;Lostroff;6,8644024;48,8652735;57;1;2018/01/01 00:00:00.000
88320;Nayemont-les-Fosses;7,0079053;48,2976887;88;1;2018/01/01 00:00:00.000
54509;Sommerviller;6,3758002;48,6364094;54;1;2018/01/01 00:00:00.000
56210;Saint-Caradec-Trégomel;-3,3514182;48,0324607;56;1;2018/01/01 00:00:00.000
64308;Lalonquette;-0,3155381;43,4900588;64;1;2018/01/01 00:00:00.000
31223;Goudex;0,9570055;43,3790612;31;1;2018/01/01 00:00:00.000
09118;Esplas-de-Sérou;1,3538522;42,9594407;09;1;2018/01/01 00:00:00.000
23229;Saint-Pardoux-les-Cards;2,1242676;46,0920454;23;1;2018/01/01 00:00:00.000
09133;Génat;1,565696;42,8288267;09;1;2018/01/01 00:00:00.000
09049;Bénac;1,5282541;42,9580955;09;1;2018/01/01 00:00:00.000
40016;Aubagnan;-0,4958027;43,6648882;40;1;2018/01/01 00:00:00.000
07336;Vernon;4,2258049;44,5061081;07;1;2018/01/01 00:00:00.000
11184;Lafage;1,8679345;43,1655631;11;1;2018/01/01 00:00:00.000
57451;Marthille;6,559482;48,9302039;57;1;2018/01/01 00:00:00.000
48176;Saint-Pierre-des-Tripiers;3,2701502;44,2247694;48;1;2018/01/01 00:00:00.000
57671;Thimonville;6,3932623;48,9448365;57;1;2018/01/01 00:00:00.000
82027;Campsas;1,3287545;43,8874175;82;1;2018/01/01 00:00:00.000
