fid;NOM_COM;INSEE_COM;UNI_BATI;BDP_BATI;MAJIC;ERP;ID;NOM_COMM;INSEE_COMM;STATUT;X_COMMUNE;Y_COMMUNE;SUPERFICIE;POPULATION;INSEE_ARR;NOM_DEPT;INSEE_DEPT;NOM_REGION;INSEE_REG
105;Bretigny;21107;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
106;Brianny;21108;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
108;Brochon;21110;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
111;Broindon;21113;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
112;Buffon;21114;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
118;La Bussière-sur-Ouche;21120;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
119;Bussy-la-Pesle;21121;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
120;Bussy-le-Grand;21122;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
125;Chaignay;21127;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
126;Chailly-sur-Armançon;21128;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
130;Chambœuf;21132;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
131;Chambolle-Musigny;21133;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
134;Champagny;21136;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
135;Champ-d'Oiseau;21137;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
138;Champignolles;21140;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
139;Champrenault;21141;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
140;Chanceaux;21142;Oui;07/11/08;20/04/19;;BDCSURCO0000000009599722;BONCOURT-LE-BOIS;21088;Commune simple;851308;6672850;758;291;1;COTE-D'OR;21;BOURGOGNE-FRANCHE-COMTE;27
